iter	Logloss	Accuracy
448	0.2406926833	0.9173487078
449	0.2404886287	0.9175099786
450	0.240225098	0.9175099786
451	0.2399468435	0.9176309317
452	0.2396957907	0.917872838
453	0.2393652189	0.9179534734
454	0.2391147609	0.9181550619
455	0.238896928	0.9184372858
456	0.2386876578	0.9185582389
457	0.2383939564	0.9186388743
458	0.2381964601	0.9188807806
459	0.2379082226	0.9189210983
460	0.2376318484	0.9190823691
461	0.2373694949	0.9192033222
462	0.2371223973	0.9195258638
463	0.2369468097	0.9195258638
464	0.2365669447	0.9196064992
465	0.2363270147	0.9198484054
466	0.2360854341	0.91976777
467	0.2358048425	0.9200096762
468	0.235513801	0.9202515825
469	0.2352412153	0.9201709471
470	0.2349145207	0.9206547595
471	0.2346530671	0.9207353949
472	0.2343785217	0.920856348
473	0.2340546914	0.9211385719
474	0.233825965	0.920856348
475	0.2335716829	0.9211788897
476	0.2332749438	0.921541749
477	0.2330825428	0.9216627021
478	0.2327726634	0.9217433375
479	0.2325645262	0.9217836552
480	0.2323088677	0.9223077853
481	0.2320417618	0.9225093739
482	0.2317670958	0.9229528686
483	0.2314453491	0.9229931863
484	0.23117547	0.923033504
485	0.2309208317	0.9231947748
486	0.2306444106	0.9231141394
487	0.2304185149	0.9232350925
488	0.2301658822	0.9231947748
489	0.229993319	0.9233560456
490	0.229830927	0.9235173165
491	0.2296213957	0.9235576342
492	0.22933675	0.923718905
493	0.2290734102	0.9238398581
494	0.2288020247	0.9238801758
495	0.2286096238	0.9240817643
496	0.2284308762	0.9241623997
497	0.2281922505	0.9242833528
498	0.227930623	0.9244043059
499	0.2277150763	0.9246865299
500	0.2275119328	0.9248478007
501	0.2272648476	0.9248881184
502	0.226953175	0.9250493892
503	0.2266907972	0.9252509777
504	0.2263883049	0.9253316131
505	0.2260798217	0.9256944724
506	0.2258369806	0.9257347901
507	0.2255287949	0.925896061
508	0.2252726377	0.9259363787
509	0.2250130858	0.9260976495
510	0.2247259502	0.9262186026
511	0.2244849941	0.9265008265
512	0.2242259045	0.9265814619
513	0.2240418484	0.926702415
514	0.2238256356	0.9265814619
515	0.2236888845	0.9266217796
516	0.2234383642	0.9266620973
517	0.2231750624	0.9265411442
518	0.2229010007	0.9267427327
519	0.2226914237	0.9270652744
520	0.2224546765	0.9270249567
521	0.2222511918	0.9272265452
522	0.222016596	0.9276297222
523	0.2217606795	0.9276297222
524	0.2214620344	0.9275490868
525	0.2212365954	0.9277103576
526	0.2209247039	0.9279925815
527	0.2206935886	0.9281135347
528	0.2204541295	0.9281135347
529	0.2201815242	0.9283957586
530	0.2199732373	0.928476394
531	0.2197470111	0.928476394
532	0.2195914617	0.928476394
533	0.2192431168	0.9287183002
534	0.2189837377	0.9288392533
535	0.2186877001	0.9289198887
536	0.2185221562	0.9289602064
537	0.2182525188	0.9290408418
538	0.2179881688	0.9293230658
539	0.2178079726	0.9294440189
540	0.2175087491	0.9294843366
541	0.2172008932	0.9296859251
542	0.2170572844	0.9298068782
543	0.2168668317	0.9298471959
544	0.2166033829	0.9298471959
545	0.2164679595	0.929968149
546	0.2162285993	0.9300084667
547	0.2160690505	0.9300084667
548	0.2158750128	0.9302100552
549	0.2156382306	0.9302503729
550	0.2154538321	0.9301697375
551	0.2152332907	0.9304519615
552	0.2150516664	0.9302100552
553	0.2148254458	0.9304519615
554	0.2146225569	0.9305729146
555	0.2143354759	0.9311776801
556	0.2141488706	0.9312179978
557	0.2139216385	0.9312986332
558	0.213629992	0.9315002217
559	0.2134874952	0.9316614926
560	0.2132541556	0.9315808572
561	0.213031281	0.9315405395
562	0.2127551491	0.9318630811
563	0.2125221378	0.9319033988
564	0.2122531091	0.9320243519
565	0.2120323587	0.9319840342
566	0.2117910363	0.9319840342
567	0.2116095987	0.9322662581
568	0.2114086926	0.9325081643
569	0.2111169125	0.9329516591
570	0.2109335877	0.9329919768
571	0.2107148224	0.9331935653
572	0.2105249087	0.9333145184
573	0.2102963943	0.9333548361
574	0.2100422865	0.9333951538
575	0.209833461	0.9332742007
576	0.2096797982	0.9333951538
577	0.2094508687	0.9334757892
578	0.209249052	0.9334757892
579	0.2090505244	0.9337176954
580	0.2088359303	0.9336773777
581	0.2085990414	0.9338789663
582	0.2083380957	0.933919284
583	0.2081824173	0.9341611902
584	0.2080296832	0.9342821433
585	0.2077923985	0.9344434141
586	0.2075821726	0.9344434141
587	0.2073869771	0.9344030964
588	0.2071720392	0.9344030964
589	0.2069536893	0.9346046849
590	0.2066947748	0.9348465911
591	0.2064593925	0.9350481797
592	0.2062150165	0.9352497682
593	0.206022171	0.9351288151
594	0.2057467142	0.9351691328
595	0.2055427737	0.9357738983
596	0.205277957	0.9361770754
597	0.205100122	0.9359351691
598	0.2048416127	0.9361367577
599	0.2046652833	0.9361770754
600	0.2044815577	0.9362980285
601	0.2042116712	0.9364592993
602	0.2039669671	0.9366608878
603	0.2036933914	0.9367012055
604	0.2034824534	0.9367415232
605	0.2033502568	0.936902794
606	0.2031278651	0.9369431117
607	0.2029050983	0.9372253356
608	0.2027221324	0.9374672419
609	0.2025173342	0.9374672419
610	0.2022971813	0.9375478773
611	0.2020763705	0.9375478773
612	0.2018510204	0.9376688304
613	0.201653691	0.9377897835
614	0.2014331377	0.9378301012
615	0.2013301719	0.9379107366
616	0.2011004626	0.9380316897
617	0.2008493023	0.9383542313
618	0.2006210341	0.9386364553
619	0.2004745215	0.9385558199
620	0.2003148249	0.9385558199
621	0.2000856006	0.9387170907
622	0.199888085	0.9387977261
623	0.1996798868	0.9387574084
624	0.1995494293	0.9387574084
625	0.1993798956	0.9388380438
626	0.1990919173	0.9390396323
627	0.1988972928	0.9392412208
628	0.1987487423	0.9393218562
629	0.198507941	0.9395234447
630	0.1983121934	0.9394428093
631	0.1980974683	0.9395637624
632	0.1979806361	0.9396847156
633	0.1977895647	0.9398459864
634	0.1976295937	0.9399266218
635	0.1975237869	0.9398459864
636	0.1972799361	0.939765351
637	0.197036667	0.9402491634
638	0.1968225014	0.940571705
639	0.1965726186	0.9406926581
640	0.1963661417	0.9407732936
641	0.1961791613	0.9410151998
642	0.1960456277	0.9410958352
643	0.1958226008	0.9411764706
644	0.1956359305	0.9413780591
645	0.1954146218	0.9414990122
646	0.1952566979	0.9414586945
647	0.1950298207	0.9414183768
648	0.1948833028	0.9413780591
649	0.1947445188	0.9414586945
650	0.1945385465	0.9413377414
651	0.1943740106	0.9413377414
652	0.1941774083	0.9414990122
653	0.194033133	0.9416199653
654	0.1937690536	0.9418618715
655	0.1935316968	0.9421844132
656	0.1933719414	0.942345684
657	0.1931225508	0.9421037778
658	0.19296931	0.9424666371
659	0.1926825769	0.9422650486
660	0.1924814208	0.9424263194
661	0.1922672009	0.942748861
662	0.1921257676	0.9429504495
663	0.1918873644	0.9430310849
664	0.1916584969	0.9433536266
665	0.1915019069	0.9435148974
666	0.1912959881	0.9435148974
667	0.1911055682	0.9439180744
668	0.1909416698	0.9439987098
669	0.1907556076	0.9439180744
670	0.1905718035	0.9439583921
671	0.1904487276	0.9439987098
672	0.1902014993	0.9441196629
673	0.1900030255	0.9441599806
674	0.1897604445	0.9443615692
675	0.1895778622	0.94452284
676	0.1893772388	0.9443212515
677	0.1891979991	0.9444825223
678	0.1889756182	0.9446034754
679	0.1887518055	0.94452284
680	0.188583377	0.9444825223
681	0.1883820355	0.9447244285
682	0.1881662344	0.9446841108
683	0.18797553	0.9449663347
684	0.187738411	0.9453695118
685	0.1875522506	0.9452082409
686	0.1873428303	0.9454904649
687	0.1871567587	0.9455307826
688	0.186970398	0.9456517357
689	0.1868247551	0.945611418
690	0.1866655685	0.9456517357
691	0.1864541256	0.9458936419
692	0.1862998251	0.9458936419
693	0.1860306446	0.9463774543
694	0.1858724994	0.9463774543
695	0.1856428518	0.9464984075
696	0.1855488755	0.9467806314
697	0.1853238305	0.9468209491
698	0.1851308958	0.9468612668
699	0.1849674417	0.9470225376
700	0.1847874453	0.9469822199
701	0.1846083623	0.9469822199
702	0.184444948	0.9470225376
703	0.184292528	0.9472241261
704	0.1841266558	0.9471434907
705	0.1839570192	0.9473047615
706	0.1837584973	0.9474660323
707	0.1835956362	0.9476676209
708	0.1834896077	0.947788574
709	0.1832757286	0.9479095271
710	0.1830848405	0.9481111156
711	0.1828869942	0.9480707979
712	0.1827082657	0.9482320687
713	0.1824896982	0.9485142926
714	0.1823580758	0.9483933395
715	0.1821584083	0.9482723864
716	0.1819964043	0.9483530218
717	0.1817795407	0.9485546103
718	0.1815569857	0.948594928
719	0.1813352263	0.948594928
720	0.1811992755	0.9486352457
721	0.1809915977	0.9487561988
722	0.1808183268	0.9489981051
723	0.1807244048	0.9489981051
724	0.180494634	0.9489577874
725	0.1802966779	0.9491190582
726	0.1801886795	0.9489981051
727	0.1800052812	0.9494012821
728	0.1797636973	0.9496028706
729	0.1796331548	0.9494819175
730	0.1794295914	0.9496028706
731	0.1792364476	0.9497641414
732	0.1790436763	0.9499254122
733	0.1788264541	0.9502479539
734	0.1786735912	0.9503285893
735	0.1784824073	0.9504092247
736	0.1782994822	0.9505704955
737	0.1781501548	0.9506511309
738	0.1779955536	0.9506914486
739	0.1779137616	0.9506914486
740	0.177782972	0.9509736725
741	0.1776230967	0.9510139902
742	0.177436993	0.9511349434
743	0.1772325064	0.9512558965
744	0.1770898175	0.9514171673
745	0.1768956317	0.9514978027
746	0.1766700563	0.9518203443
747	0.1765058846	0.951860662
748	0.1762919412	0.9519412974
749	0.1760914272	0.9521025682
750	0.175913167	0.9521832036
751	0.1757217748	0.9522235213
752	0.1755224644	0.9524654276
753	0.1753448864	0.9524251099
754	0.1752091337	0.9527879692
755	0.1750296039	0.9528282869
756	0.1748935309	0.9527476515
757	0.1747388774	0.9529089223
758	0.1745438977	0.9530298754
759	0.1743990374	0.9532717816
760	0.1742606743	0.9531105108
761	0.1741285529	0.9533120993
762	0.1739803209	0.953352417
763	0.1738146479	0.9534330525
764	0.1736644328	0.9535136879
765	0.1734762142	0.9535540056
766	0.1733520436	0.9537152764
767	0.1731498567	0.9538765472
768	0.1730012583	0.9538765472
769	0.1728813578	0.954037818
770	0.1726946008	0.954037818
771	0.1725406936	0.9540781357
772	0.1723684576	0.9541587711
773	0.1722006078	0.9542394065
774	0.1720653986	0.9542797242
775	0.1719241529	0.9542797242
776	0.1717729488	0.9545619482
777	0.1716424973	0.9544006773
778	0.1715189929	0.9546022659
779	0.1713656025	0.9545619482
780	0.1712104315	0.9546425836
781	0.1710605135	0.9550054429
782	0.1709431695	0.9549651252
783	0.1708395384	0.9548038544
784	0.1707058721	0.9548038544
785	0.1706108836	0.9548038544
786	0.1704348197	0.955126396
787	0.1702552575	0.9552070314
788	0.1700850536	0.9552876668
789	0.1699677691	0.9553683022
790	0.16976185	0.9554892553
791	0.1696197364	0.9556102084
792	0.1695089375	0.9556102084
793	0.1693816851	0.9557311616
794	0.1692267596	0.9558924324
795	0.1690641739	0.955811797
796	0.1689238455	0.9558924324
797	0.1687552859	0.955811797
798	0.1685814804	0.9560133855
799	0.1684031563	0.9560940209
800	0.1682846239	0.956214974
801	0.1681561709	0.9562552917
802	0.1680315128	0.9562552917
803	0.1679123148	0.9564165625
804	0.167820855	0.9564568802
805	0.1677304029	0.9564568802
806	0.1675883167	0.956618151
807	0.1673995587	0.9564971979
808	0.1672343894	0.9566584687
809	0.1670365057	0.9567794218
810	0.1668688609	0.9568197395
811	0.1667031561	0.9570213281
812	0.1665250097	0.9568600573
813	0.1663905789	0.9569406927
814	0.1662371445	0.9571825989
815	0.1661002606	0.9573841874
816	0.1659816203	0.9576260936
817	0.1658174921	0.9575454582
818	0.1656248413	0.9575857759
819	0.1654287554	0.9575857759
820	0.1652156364	0.9579083175
821	0.1650481821	0.9578679998
822	0.1649129784	0.9579083175
823	0.1647708865	0.9580292707
824	0.1646361429	0.9579083175
825	0.1645183352	0.9581099061
826	0.1643806495	0.9580695884
827	0.1642539389	0.9580695884
828	0.1641604575	0.9581502238
829	0.1639849345	0.9583518123
830	0.1638317787	0.9583114946
831	0.1636456809	0.9585534008
832	0.1635016042	0.9586340362
833	0.1634371901	0.9585937185
834	0.1632936652	0.9587146716
835	0.1631320008	0.9588759424
836	0.1629436457	0.9589968955
837	0.1627787112	0.9591178486
838	0.162615583	0.9590372132
839	0.162449074	0.9593597549
840	0.1622998073	0.9592791195
841	0.1621659766	0.9592388018
842	0.1620091469	0.959480708
843	0.1618654795	0.959480708
844	0.1617112035	0.9592791195
845	0.1615225438	0.9595613434
846	0.1613585879	0.9596016611
847	0.161273952	0.9596016611
848	0.1611256596	0.9596419788
849	0.1610040332	0.9596822965
850	0.1608680425	0.9596419788
851	0.160706617	0.9598435673
852	0.1605405567	0.9597226142
853	0.1603897487	0.9598435673
854	0.1602580837	0.959883885
855	0.160120685	0.959883885
856	0.1599606602	0.9600048381
857	0.1598302626	0.9600048381
858	0.1596544221	0.9600451558
859	0.1595099772	0.9600854735
860	0.159335384	0.960287062
861	0.159208755	0.960287062
862	0.1590425633	0.960569286
863	0.1588715734	0.9606096037
864	0.1586650661	0.9606902391
865	0.1585424478	0.9607305568
866	0.158382715	0.9607708745
867	0.1583078014	0.9609321453
868	0.1581401899	0.9609321453
869	0.1580263768	0.9609321453
870	0.1578824602	0.9612143692
871	0.1577500193	0.9612950046
872	0.1576629045	0.9612143692
873	0.1575109321	0.9612950046
874	0.157333367	0.9612546869
875	0.1571891105	0.96137564
876	0.1570660515	0.9614159577
877	0.1569287657	0.9614159577
878	0.15678346	0.9614159577
879	0.156649919	0.9614159577
880	0.1564892734	0.9615772286
881	0.1563269171	0.961657864
882	0.1562216055	0.9616175463
