iter	Passed	Remaining
632	6190	3589
633	6199	3578
634	6209	3568
635	6217	3558
636	6226	3548
637	6236	3538
638	6246	3528
639	6255	3518
640	6265	3508
641	6274	3498
642	6283	3488
643	6292	3478
644	6301	3468
645	6311	3458
646	6321	3448
647	6331	3439
648	6341	3429
649	6350	3419
650	6360	3409
651	6369	3399
652	6379	3389
653	6388	3379
654	6398	3369
655	6407	3360
656	6416	3350
657	6426	3340
658	6436	3330
659	6445	3320
660	6455	3310
661	6464	3300
662	6473	3290
663	6483	3280
664	6493	3271
665	6503	3261
666	6512	3251
667	6521	3241
668	6531	3231
669	6541	3221
670	6550	3211
671	6559	3201
672	6568	3191
673	6578	3181
674	6588	3172
675	6597	3161
676	6606	3152
677	6616	3142
678	6626	3132
679	6635	3122
680	6644	3112
681	6654	3102
682	6664	3093
683	6674	3083
684	6684	3073
685	6693	3063
686	6703	3053
687	6712	3044
688	6721	3034
689	6730	3023
690	6740	3014
691	6751	3004
692	6761	2995
693	6771	2985
694	6780	2975
695	6790	2966
696	6800	2956
697	6810	2946
698	6820	2937
699	6830	2927
700	6840	2917
701	6850	2908
702	6860	2898
703	6869	2888
704	6879	2878
705	6889	2869
706	6899	2859
707	6908	2849
708	6917	2839
709	6926	2829
710	6936	2819
711	6945	2809
712	6954	2799
713	6964	2789
714	6973	2779
715	6983	2770
716	6992	2760
717	7002	2750
718	7011	2740
719	7021	2730
720	7030	2720
721	7040	2710
722	7049	2700
723	7058	2690
724	7068	2681
725	7078	2671
726	7087	2661
727	7096	2651
728	7106	2641
729	7115	2631
730	7125	2622
731	7135	2612
732	7144	2602
733	7155	2593
734	7164	2583
735	7174	2573
736	7184	2563
737	7194	2554
738	7204	2544
739	7214	2534
740	7224	2525
741	7234	2515
742	7244	2505
743	7255	2496
744	7264	2486
745	7275	2477
746	7286	2467
747	7295	2457
748	7305	2448
749	7315	2438
750	7325	2428
751	7336	2419
752	7347	2410
753	7358	2400
754	7368	2391
755	7378	2381
756	7388	2371
757	7398	2362
758	7408	2352
759	7418	2342
760	7428	2332
761	7437	2323
762	7448	2313
763	7458	2303
764	7467	2294
765	7477	2284
766	7487	2274
767	7497	2264
768	7507	2255
769	7516	2245
770	7526	2235
771	7536	2225
772	7545	2215
773	7555	2206
774	7564	2196
775	7573	2186
776	7583	2176
777	7592	2166
778	7602	2156
779	7612	2147
780	7622	2137
781	7631	2127
782	7641	2117
783	7650	2107
784	7659	2097
785	7668	2087
786	7677	2077
787	7687	2068
788	7697	2058
789	7705	2048
790	7715	2038
791	7724	2028
792	7734	2018
793	7743	2008
794	7753	1999
795	7763	1989
796	7773	1979
797	7782	1970
798	7792	1960
799	7802	1950
800	7811	1940
801	7821	1930
802	7830	1921
803	7839	1911
804	7848	1901
805	7857	1891
806	7867	1881
807	7877	1871
808	7886	1861
809	7896	1852
810	7905	1842
811	7915	1832
812	7925	1822
813	7934	1813
814	7945	1803
815	7954	1793
816	7965	1784
817	7975	1774
818	7985	1764
819	7994	1754
820	8004	1745
821	8013	1735
822	8023	1725
823	8033	1715
824	8042	1706
825	8051	1696
826	8060	1686
827	8069	1676
828	8078	1666
829	8088	1656
830	8098	1646
831	8107	1637
832	8116	1627
833	8125	1617
834	8135	1607
835	8151	1599
836	8161	1589
837	8170	1579
838	8180	1569
839	8189	1559
840	8199	1550
841	8208	1540
842	8217	1530
843	8226	1520
844	8236	1510
845	8246	1501
846	8255	1491
847	8264	1481
848	8273	1471
849	8283	1461
850	8292	1451
851	8301	1442
852	8311	1432
853	8321	1422
854	8330	1412
855	8339	1402
856	8351	1393
857	8361	1383
858	8371	1374
859	8381	1364
860	8391	1354
861	8402	1345
862	8412	1335
863	8424	1326
864	8434	1316
865	8444	1306
866	8455	1297
867	8464	1287
868	8475	1277
869	8484	1267
870	8494	1258
871	8504	1248
872	8513	1238
873	8523	1228
874	8533	1219
875	8543	1209
876	8552	1199
877	8562	1189
878	8572	1180
879	8581	1170
880	8591	1160
881	8601	1150
882	8610	1140
883	8619	1131
884	8629	1121
885	8638	1111
886	8647	1101
887	8656	1091
888	8665	1081
889	8674	1072
890	8684	1062
891	8693	1052
892	8703	1042
893	8712	1033
894	8722	1023
895	8731	1013
896	8740	1003
897	8749	993
898	8758	984
899	8768	974
900	8778	964
901	8787	954
902	8797	944
903	8806	935
904	8815	925
905	8824	915
906	8833	905
907	8843	896
908	8852	886
909	8862	876
910	8871	866
911	8881	857
912	8891	847
913	8901	837
914	8911	827
915	8920	818
916	8930	808
917	8939	798
918	8948	788
919	8958	778
920	8967	769
921	8976	759
922	8986	749
923	8995	739
924	9004	730
925	9014	720
926	9024	710
927	9033	700
928	9043	691
929	9052	681
930	9062	671
931	9072	661
932	9081	652
933	9091	642
934	9101	632
935	9110	622
936	9121	613
937	9130	603
938	9139	593
939	9148	583
940	9158	574
941	9167	564
942	9177	554
943	9186	544
944	9196	535
945	9206	525
946	9216	515
947	9225	506
948	9234	496
949	9243	486
950	9252	476
951	9262	467
952	9272	457
953	9281	447
954	9290	437
955	9300	428
956	9310	418
957	9320	408
958	9330	398
959	9339	389
960	9348	379
961	9358	369
962	9367	359
963	9376	350
964	9385	340
965	9394	330
966	9402	320
967	9412	311
968	9421	301
969	9431	291
970	9441	281
971	9450	272
972	9459	262
973	9469	252
974	9478	243
975	9487	233
976	9497	223
977	9506	213
978	9515	204
979	9526	194
980	9535	184
981	9545	174
982	9555	165
983	9565	155
984	9575	145
985	9585	136
986	9596	126
987	9606	116
988	9617	106
989	9627	97
990	9637	87
991	9647	77
992	9656	68
993	9666	58
994	9676	48
995	9686	38
996	9695	29
997	9706	19
998	9716	9
999	9725	0
